assay	trim	split_seed	model	scope	pearson	spearman	n
ORI	171	split_seed4	cnn_mean_ens	by_prefix			
ORI	171	split_seed4	kmer_elasticnet_mean_ens	overall	0.6250570911550948	0.4171551225969044	242.0
ORI	171	split_seed4	kmer_elasticnet_mean_ens	overall_non_excluded	0.6250570911550948	0.4171551225969044	242.0
ORI	171	split_seed4	kmer_elasticnet_mean_ens	by_prefix			
ORI	171	split_seed4	kmer_mean_ens	overall	0.6164823471961094	0.39111994530266514	242.0
ORI	171	split_seed4	kmer_mean_ens	overall_non_excluded	0.6164823471961094	0.39111994530266514	242.0
ORI	171	split_seed4	kmer_mean_ens	by_prefix			
ORI	171	split_seed4	onehot_ridge_mean_ens	overall	0.14047294380136452	0.07246378652329548	242.0
ORI	171	split_seed4	onehot_ridge_mean_ens	overall_non_excluded	0.14047294380136452	0.07246378652329548	242.0
ORI	171	split_seed4	onehot_ridge_mean_ens	by_prefix			
ORI	185	split_seed0	cnn_mean_ens	overall	0.7095958385548352	0.5307505294732893	242.0
ORI	185	split_seed0	cnn_mean_ens	overall_non_excluded	0.7095958385548352	0.5307505294732893	242.0
ORI	185	split_seed0	cnn_mean_ens	by_prefix			
ORI	185	split_seed0	kmer_elasticnet_mean_ens	overall	0.6191742127789613	0.41388676913053907	242.0
ORI	185	split_seed0	kmer_elasticnet_mean_ens	overall_non_excluded	0.6191742127789613	0.41388676913053907	242.0
ORI	185	split_seed0	kmer_elasticnet_mean_ens	by_prefix			
ORI	185	split_seed0	kmer_mean_ens	overall	0.6207439042243179	0.40562439340110845	242.0
ORI	185	split_seed0	kmer_mean_ens	overall_non_excluded	0.6207439042243179	0.40562439340110845	242.0
ORI	185	split_seed0	kmer_mean_ens	by_prefix			
ORI	185	split_seed0	onehot_ridge_mean_ens	overall	0.16127292879823563	0.07013493675513467	242.0
ORI	185	split_seed0	onehot_ridge_mean_ens	overall_non_excluded	0.16127292879823563	0.07013493675513467	242.0
ORI	185	split_seed0	onehot_ridge_mean_ens	by_prefix			
ORI	185	split_seed1	cnn_mean_ens	overall	0.7201076649237519	0.48516503230844477	242.0
ORI	185	split_seed1	cnn_mean_ens	overall_non_excluded	0.7201076649237519	0.48516503230844477	242.0
ORI	185	split_seed1	cnn_mean_ens	by_prefix			
ORI	185	split_seed1	kmer_elasticnet_mean_ens	overall	0.645508638555586	0.3762412747473212	242.0
ORI	185	split_seed1	kmer_elasticnet_mean_ens	overall_non_excluded	0.645508638555586	0.3762412747473212	242.0
ORI	185	split_seed1	kmer_elasticnet_mean_ens	by_prefix			
ORI	185	split_seed1	kmer_mean_ens	overall	0.6606498603808632	0.3885107666584496	242.0
ORI	185	split_seed1	kmer_mean_ens	overall_non_excluded	0.6606498603808632	0.3885107666584496	242.0
ORI	185	split_seed1	kmer_mean_ens	by_prefix			
ORI	185	split_seed1	onehot_ridge_mean_ens	overall	0.24254599732866722	0.1536152580136422	242.0
ORI	185	split_seed1	onehot_ridge_mean_ens	overall_non_excluded	0.24254599732866722	0.1536152580136422	242.0
ORI	185	split_seed1	onehot_ridge_mean_ens	by_prefix			
ORI	185	split_seed2	cnn_mean_ens	overall	0.7095950287272673	0.47529312647933764	242.0
ORI	185	split_seed2	cnn_mean_ens	overall_non_excluded	0.7095950287272673	0.47529312647933764	242.0
ORI	185	split_seed2	cnn_mean_ens	by_prefix			
ORI	185	split_seed2	kmer_elasticnet_mean_ens	overall	0.606805790202882	0.37938218527790285	242.0
ORI	185	split_seed2	kmer_elasticnet_mean_ens	overall_non_excluded	0.606805790202882	0.37938218527790285	242.0
ORI	185	split_seed2	kmer_elasticnet_mean_ens	by_prefix			
ORI	185	split_seed2	kmer_mean_ens	overall	0.6163205812013051	0.3738301930339088	242.0
ORI	185	split_seed2	kmer_mean_ens	overall_non_excluded	0.6163205812013051	0.3738301930339088	242.0
ORI	185	split_seed2	kmer_mean_ens	by_prefix			
ORI	185	split_seed2	onehot_ridge_mean_ens	overall	0.26677579847847227	0.17623108887097058	242.0
ORI	185	split_seed2	onehot_ridge_mean_ens	overall_non_excluded	0.26677579847847227	0.17623108887097058	242.0
ORI	185	split_seed2	onehot_ridge_mean_ens	by_prefix			
ORI	185	split_seed3	cnn_mean_ens	overall	0.8018839800892075	0.6229995550459667	242.0
ORI	185	split_seed3	cnn_mean_ens	overall_non_excluded	0.8018839800892075	0.6229995550459667	242.0
ORI	185	split_seed3	cnn_mean_ens	by_prefix			
ORI	185	split_seed3	kmer_elasticnet_mean_ens	overall	0.675745754874975	0.46545968585656217	242.0
ORI	185	split_seed3	kmer_elasticnet_mean_ens	overall_non_excluded	0.675745754874975	0.46545968585656217	242.0
ORI	185	split_seed3	kmer_elasticnet_mean_ens	by_prefix			
ORI	185	split_seed3	kmer_mean_ens	overall	0.6699576597247986	0.47096976042356464	242.0
ORI	185	split_seed3	kmer_mean_ens	overall_non_excluded	0.6699576597247986	0.47096976042356464	242.0
ORI	185	split_seed3	kmer_mean_ens	by_prefix			
ORI	185	split_seed3	onehot_ridge_mean_ens	overall	0.22418275171234228	0.11509133853550549	242.0
ORI	185	split_seed3	onehot_ridge_mean_ens	overall_non_excluded	0.22418275171234228	0.11509133853550549	242.0
ORI	185	split_seed3	onehot_ridge_mean_ens	by_prefix			
ORI	185	split_seed4	cnn_mean_ens	overall	0.7327862319193532	0.5976211190793339	242.0
ORI	185	split_seed4	cnn_mean_ens	overall_non_excluded	0.7327862319193532	0.5976211190793339	242.0
ORI	185	split_seed4	cnn_mean_ens	by_prefix			
ORI	185	split_seed4	kmer_elasticnet_mean_ens	overall	0.6333115818793376	0.4299161528102997	242.0
ORI	185	split_seed4	kmer_elasticnet_mean_ens	overall_non_excluded	0.6333115818793376	0.4299161528102997	242.0
ORI	185	split_seed4	kmer_elasticnet_mean_ens	by_prefix			
ORI	185	split_seed4	kmer_mean_ens	overall	0.6229466969696679	0.4014936273184181	242.0
ORI	185	split_seed4	kmer_mean_ens	overall_non_excluded	0.6229466969696679	0.4014936273184181	242.0
ORI	185	split_seed4	kmer_mean_ens	by_prefix			
ORI	185	split_seed4	onehot_ridge_mean_ens	overall	0.14047295697569154	0.07246378652329548	242.0
ORI	185	split_seed4	onehot_ridge_mean_ens	overall_non_excluded	0.14047295697569154	0.07246378652329548	242.0
ORI	185	split_seed4	onehot_ridge_mean_ens	by_prefix			
pGL4	171	split_seed0	cnn_mean_ens	overall	0.6953733721287693	0.475997624085318	242.0
pGL4	171	split_seed0	cnn_mean_ens	overall_non_excluded	0.6953733721287693	0.475997624085318	242.0
pGL4	171	split_seed0	cnn_mean_ens	by_prefix			
pGL4	171	split_seed0	kmer_elasticnet_mean_ens	overall	0.6376862878811527	0.41906286819445226	242.0
pGL4	171	split_seed0	kmer_elasticnet_mean_ens	overall_non_excluded	0.6376862878811527	0.41906286819445226	242.0
pGL4	171	split_seed0	kmer_elasticnet_mean_ens	by_prefix			
pGL4	171	split_seed0	kmer_mean_ens	overall	0.6419344185409381	0.4171564628333142	242.0
pGL4	171	split_seed0	kmer_mean_ens	overall_non_excluded	0.6419344185409381	0.4171564628333142	242.0
pGL4	171	split_seed0	kmer_mean_ens	by_prefix			
